ref_number,account_number,statement_date,amount,txn_type,memo,is_bank_originated_fee
TXN0005706,1582477663,2025-05-13,-32944.34,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0000642,5685743966,2025-03-28,-15143.45,Wire Transfer,Outgoing Wire,False
TXN0004374,9447616798,2025-02-06,21028.37,ACH Debit,VENDOR PAYMENT,False
TXN0005432,8139460187,2025-04-07,19687.65,ACH Credit,Payroll Deposit,False
TXN0004135,2898749263,2025-04-17,-11414.04,Debit Card,POS Purchase,False
TXN0001025,6707935116,2025-01-12,-42174.37,Wire Transfer,INCOMING WIRE,False
TXN0002339,5474221081,2025-03-06,7025.71,Internal Transfer,Account Transfer,False
FEE00005,4592578149,2025-03-04,-8.50,Service Charge,Wire Fee,True
TXN0005336,6985916885,2025-06-23,-10695.89,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003239,9168127750,2025-01-16,-35245.83,Wire Transfer,OUTGOING WIRE,False
TXN0004370,8110890593,2025-01-17,-33921.91,Wire Transfer,Outgoing Wire,False
TXN0002590,5319584830,2025-03-22,-22738.56,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000853,3512061834,2025-05-26,-34509.83,Wire Transfer,INCOMING WIRE,False
TXN0004063,9842210218,2025-01-23,-40303.39,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001657,1901245678,2025-03-07,-33837.03,Wire Transfer,Outgoing Wire,False
TXN0005467,7601939349,2025-04-18,18927.80,ACH Credit,PAYROLL DEPOSIT,False
TXN0000115,1945131253,2025-05-24,182.28,ACH Credit,Payroll Deposit,False
TXN0004085,6436622069,2025-06-17,-3212.16,Wire Transfer,Incoming Wire,False
TXN0005568,4430863157,2025-01-03,-5779.97,Wire Transfer,Outgoing Wire,False
TXN0003863,6147402856,2025-02-24,-14233.38,Debit Card,POS Purchase,False
TXN0005022,1539446309,2025-03-21,-29089.70,Wire Transfer,OUTGOING WIRE,False
TXN0003030,7043716166,2025-03-08,-20208.86,Debit Card,POS PURCHASE,False
TXN0002597,8696891704,2025-05-23,20664.45,ACH Credit,PAYROLL DEPOSIT,False
TXN0001487,9275712600,2025-03-22,-30297.41,Wire Transfer,INCOMING WIRE,False
TXN0005321,4185648181,2025-01-09,4549.91,Check Deposit,CHECK DEPOSIT,False
TXN0003896,3186854947,2025-05-07,4096.40,ACH Credit,Payroll Deposit,False
TXN0002415,1704425118,2025-03-25,-17641.00,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001074,6203910402,2025-02-10,7110.94,ACH Credit,PAYROLL DEPOSIT,False
TXN0001760,7049533963,2025-06-07,-21338.80,Wire Transfer,Incoming Wire,False
TXN0004259,3572580085,2025-02-12,-2258.20,Debit Card,POS Purchase,False
TXN0004502,2303532671,2025-01-23,-5632.97,Debit Card,POS PURCHASE,False
TXN0005486,4650563247,2025-06-29,-36782.75,ACH Debit,VENDOR PAYMENT,False
TXN0005853,9230443877,2025-05-30,-12532.30,ACH Debit,Vendor Payment,False
TXN0001279,6487796173,2025-04-03,-30092.17,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0004818,4167901547,2025-03-16,585.88,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0002424,9396896939,2025-03-10,-21664.68,Debit Card,POS Purchase,False
TXN0000665,8602503943,2025-04-02,-23591.61,Debit Card,POS Purchase,False
TXN0001976,8613336419,2025-06-19,-39005.02,Wire Transfer,OUTGOING WIRE,False
TXN0002626,2644598591,2025-02-09,11161.70,Check Deposit,CHECK DEPOSIT,False
TXN0005966,7746380923,2025-01-03,12837.59,ACH Credit,Payroll Deposit,False
TXN0002438,8762046918,2025-02-09,-30276.95,ACH Debit,Vendor Payment,False
TXN0000391,7985244492,2025-02-14,13536.78,Check Deposit,Check Deposit,False
TXN0003724,8359197591,2025-02-05,-39208.17,Debit Card,POS PURCHASE,False
TXN0004170,5791186411,2025-04-08,-42060.68,ACH Debit,Vendor Payment,False
TXN0003002,5813285590,2025-02-20,20039.53,Check Deposit,Check Deposit,False
TXN0001258,8104464403,2025-05-25,-10464.64,Wire Transfer,Outgoing Wire,False
TXN0004317,1930813765,2025-05-08,-13552.92,ACH Debit,Vendor Payment,False
TXN0003900,1237081050,2025-05-16,-28418.27,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000597,5962059707,2025-03-27,22266.28,Check Deposit,Check Deposit,False
TXN0000311,8104195518,2025-06-09,-37233.45,ACH Debit,Vendor Payment,False
TXN0002846,7831590895,2025-01-18,32922.55,Check Deposit,Check Deposit,False
TXN0000516,3264613983,2025-04-23,-40991.86,Wire Transfer,OUTGOING WIRE,False
TXN0001718,6614808084,2025-01-18,17256.85,ACH Debit,VENDOR PAYMENT,False
TXN0002401,4413979728,2025-05-29,-1664.86,Wire Transfer,OUTGOING WIRE,False
TXN0003836,3251607425,2025-03-26,-36204.35,Wire Transfer,Incoming Wire,False
TXN0003580,9676951183,2025-04-29,-33822.86,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003128,9439837853,2025-06-25,41211.63,ACH Credit,PAYROLL DEPOSIT,False
TXN0002372,3339892837,2025-06-28,-34338.80,ACH Debit,Vendor Payment,False
TXN0003450,2057702825,2025-02-07,-44025.15,Debit Card,POS Purchase,False
TXN0000954,7576267931,2025-06-28,-7618.37,ACH Debit,VENDOR PAYMENT,False
TXN0004572,3971463618,2025-02-20,-10180.18,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0005476,5989485009,2025-06-06,-11808.10,ACH Debit,Vendor Payment,False
TXN0000849,7432715143,2025-01-19,-28471.86,Internal Transfer,Account Transfer,False
TXN0005748,9312919705,2025-03-30,6705.71,Internal Transfer,Account Transfer,False
TXN0003864,6021815121,2025-06-30,-17315.78,ACH Debit,Vendor Payment,False
TXN0003675,3433002210,2025-02-05,-9612.26,Debit Card,POS PURCHASE,False
TXN0005723,1051934457,2025-06-01,-43436.29,ACH Debit,Vendor Payment,False
TXN0005046,1418921665,2025-01-11,-11759.27,Wire Transfer,Outgoing Wire,False
TXN0002217,8465350447,2025-06-03,43330.91,ACH Credit,Payroll Deposit,False
TXN0002953,8836281443,2025-04-22,27723.11,Internal Transfer,Account Transfer,False
TXN0001161,8958516184,2025-01-16,-5452.99,Wire Transfer,Incoming Wire,False
TXN0001914,3227689725,2025-04-22,-44672.57,Internal Transfer,ACCOUNT TRANSFER,False
TXN0004804,4783676211,2025-06-08,23461.69,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001047,6076361938,2025-02-10,41717.56,ACH Credit,Payroll Deposit,False
TXN0000815,4405197521,2025-03-24,31840.36,ACH Credit,Payroll Deposit,False
TXN0000321,6190640713,2025-05-07,34333.39,Check Deposit,Check Deposit,False
TXN0000128,4807334871,2025-03-09,-34514.51,ACH Debit,Vendor Payment,False
TXN0004550,2712275157,2025-03-30,-12183.97,Wire Transfer,Outgoing Wire,False
FEE00083,5814384448,2025-01-27,-49.55,Service Charge,Wire Fee,True
TXN0001968,9334906421,2025-02-20,-42708.06,Wire Transfer,Incoming Wire,False
TXN0003160,5226848851,2025-04-03,-12263.00,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003415,2339478295,2025-06-02,-24634.06,Internal Transfer,ACCOUNT TRANSFER,False
TXN0004654,7991177364,2025-01-01,-27965.77,Wire Transfer,Outgoing Wire,False
TXN0003797,9641246923,2025-04-22,-14738.42,ACH Debit,VENDOR PAYMENT,False
TXN0004393,5441741247,2025-03-07,28539.41,Check Deposit,CHECK DEPOSIT,False
TXN0003544,4710016046,2025-05-13,-25366.52,Internal Transfer,Account Transfer,False
TXN0002444,4781985381,2025-06-09,29201.02,ACH Credit,Payroll Deposit,False
TXN0000653,3409262628,2025-04-22,-36939.69,Wire Transfer,OUTGOING WIRE,False
TXN0005204,7649943709,2025-03-02,-20745.31,Wire Transfer,OUTGOING WIRE,False
TXN0000106,6318459013,2025-06-02,6810.34,ACH Credit,Payroll Deposit,False
TXN0004186,8320630028,2025-02-28,31137.47,Internal Transfer,Account Transfer,False
TXN0005236,4230864287,2025-03-19,-16385.95,Wire Transfer,Outgoing Wire,False
TXN0001300,8854809082,2025-03-01,-41865.71,ACH Debit,VENDOR PAYMENT,False
TXN0001211,7191077738,2025-04-21,-15757.36,Wire Transfer,Outgoing Wire,False
TXN0004610,4586887105,2025-04-08,33026.26,ACH Credit,Payroll Deposit,False
TXN0001956,1376421069,2025-03-05,-35516.71,ACH Debit,Vendor Payment,False
TXN0001478,5735399434,2025-01-05,19368.69,Check Deposit,Check Deposit,False
TXN0000887,7430932066,2025-03-14,-6573.46,Wire Transfer,Outgoing Wire,False
TXN0000805,5289209469,2025-06-03,-36162.77,ACH Debit,VENDOR PAYMENT,False
TXN0003271,9477870997,2025-06-02,-30847.95,Internal Transfer,Account Transfer,False
TXN0003372,9747024210,2025-04-27,14662.57,ACH Credit,PAYROLL DEPOSIT,False
TXN0001742,6432058439,2025-06-20,25338.05,Check Deposit,Check Deposit,False
TXN0000489,8769036542,2025-06-25,-25307.39,Debit Card,POS Purchase,False
TXN0000932,1961932569,2025-03-11,-39387.60,Debit Card,POS PURCHASE,False
TXN0001653,2192772423,2025-01-09,-39114.27,Internal Transfer,Account Transfer,False
TXN0002356,9453746487,2025-01-19,-27323.74,Debit Card,POS Purchase,False
TXN0005359,5597766536,2025-06-04,-4991.59,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004483,8431136379,2025-01-28,-17833.85,Wire Transfer,OUTGOING WIRE,False
TXN0003351,9496911787,2025-02-20,-2374.94,ACH Debit,VENDOR PAYMENT,False
TXN0002140,5031970550,2025-02-27,-24408.89,Wire Transfer,Incoming Wire,False
TXN0004497,1176419094,2025-02-25,-12318.33,Wire Transfer,Incoming Wire,False
TXN0001495,5880299342,2025-05-02,24329.49,Internal Transfer,ACCOUNT TRANSFER,False
TXN0004846,7946546169,2025-01-18,-5218.68,Internal Transfer,Account Transfer,False
TXN0002009,1105702808,2025-01-13,-3154.35,Wire Transfer,Outgoing Wire,False
TXN0005598,7358826289,2025-06-17,16635.09,ACH Credit,Payroll Deposit,False
TXN0003776,2348892450,2025-02-01,-15723.86,Wire Transfer,INCOMING WIRE,False
TXN0004190,9793995559,2025-03-18,-8553.50,Wire Transfer,Incoming Wire,False
TXN0003164,4090700054,2025-04-08,-3625.15,ACH Debit,VENDOR PAYMENT,False
TXN0001021,4163112498,2025-04-24,-16933.63,Wire Transfer,Incoming Wire,False
TXN0001244,7648094774,2025-01-03,-39127.77,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0005937,8271735963,2025-04-03,44715.44,ACH Credit,Payroll Deposit,False
TXN0000831,2091551280,2025-04-15,-17641.10,Internal Transfer,Account Transfer,False
TXN0004693,2835971286,2025-01-28,-44415.68,Debit Card,POS Purchase,False
TXN0005999,7607364614,2025-02-22,22606.49,Check Deposit,Check Deposit,False
TXN0005696,3541421599,2025-03-06,-40170.68,Wire Transfer,Incoming Wire,False
TXN0004910,5446362479,2025-03-13,-35842.60,ACH Debit,Vendor Payment,False
TXN0003877,2010265668,2025-02-17,11422.71,Check Deposit,Check Deposit,False
TXN0004662,5619897084,2025-03-14,-8574.41,Debit Card,POS PURCHASE,False
TXN0002677,2583917287,2025-03-08,-28100.15,ACH Debit,Vendor Payment,False
TXN0004968,1490474824,2025-03-16,-22718.38,Internal Transfer,ACCOUNT TRANSFER,False
TXN0002226,7312258023,2025-06-25,-44917.81,Debit Card,POS Purchase,False
TXN0005886,5058217687,2025-06-28,-11334.52,Internal Transfer,Account Transfer,False
TXN0002127,4522070356,2025-05-25,-25438.81,Wire Transfer,Outgoing Wire,False
TXN0004819,7521505277,2025-03-29,19425.97,Internal Transfer,Account Transfer,False
TXN0005936,7318503723,2025-05-14,-1734.99,Internal Transfer,Account Transfer,False
TXN0004567,6226033819,2025-02-04,-21616.08,Wire Transfer,INCOMING WIRE,False
TXN0000794,5780322333,2025-02-15,-35492.77,Wire Transfer,Outgoing Wire,False
TXN0001665,4545072757,2025-05-06,-11341.83,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000044,5166418641,2025-05-07,-19345.28,Internal Transfer,ACCOUNT TRANSFER,False
TXN0001090,9375210730,2025-02-22,-26206.04,Wire Transfer,Incoming Wire,False
TXN0002500,9620218421,2025-02-11,6996.07,ACH Credit,PAYROLL DEPOSIT,False
TXN0000830,9404789313,2025-05-25,5683.72,Check Deposit,Check Deposit,False
TXN0000895,4359076788,2025-02-01,-14312.46,Debit Card,POS Purchase,False
TXN0003573,4282928657,2025-03-22,-32845.20,ACH Debit,Vendor Payment,False
TXN0004415,5440638990,2025-02-12,-42764.51,Wire Transfer,OUTGOING WIRE,False
TXN0004155,1718304642,2025-06-05,11711.19,Check Deposit,Check Deposit,False
TXN0001754,8218386047,2025-02-06,41250.35,ACH Credit,Payroll Deposit,False
TXN0004457,4757707490,2025-03-17,-26341.27,Wire Transfer,Outgoing Wire,False
TXN0001688,9844590779,2025-01-02,-15542.45,Wire Transfer,Outgoing Wire,False
TXN0000498,5492022473,2025-06-18,-134.41,Wire Transfer,Outgoing Wire,False
TXN0005711,7987237377,2025-05-17,17740.63,ACH Credit,Payroll Deposit,False
TXN0001577,8708584927,2025-03-21,-35581.96,Wire Transfer,Outgoing Wire,False
TXN0000258,6529829040,2025-05-26,17316.94,ACH Credit,Payroll Deposit,False
TXN0003592,7182871563,2025-03-03,28620.89,Internal Transfer,Account Transfer,False
TXN0004493,2109548995,2025-03-29,23240.90,Check Deposit,Check Deposit,False
TXN0002760,8286769769,2025-06-07,7877.29,ACH Credit,Payroll Deposit,False
TXN0000314,6538548253,2025-06-23,-39173.04,Wire Transfer,Incoming Wire,False
TXN0005517,5790569869,2025-04-07,24664.61,ACH Credit,PAYROLL DEPOSIT,False
TXN0002478,9875636972,2025-05-09,-12901.43,ACH Debit,Vendor Payment,False
TXN0000566,3305168891,2025-06-30,40338.08,ACH Credit,PAYROLL DEPOSIT,False
TXN0003632,4966723835,2025-03-06,-2792.65,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003873,7755793107,2025-01-31,-44758.01,ACH Debit,VENDOR PAYMENT,False
TXN0004841,6251879960,2025-03-28,23190.47,Check Deposit,Check Deposit,False
TXN0001552,9414141794,2025-05-05,-33822.79,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001999,9164737671,2025-06-05,-16504.07,Wire Transfer,Outgoing Wire,False
TXN0002265,7812701871,2025-01-03,35205.59,Wire Transfer,Incoming Wire,False
TXN0001897,4400859949,2025-03-01,-28216.08,ACH Debit,Vendor Payment,False
TXN0003397,8384977809,2025-01-17,-6997.45,Debit Card,POS Purchase,False
TXN0002010,3710082408,2025-06-01,2136.76,ACH Credit,Payroll Deposit,False
TXN0005802,5558330619,2025-04-27,-23044.13,Wire Transfer,OUTGOING WIRE,False
TXN0005844,5409398474,2025-03-29,-10603.76,Wire Transfer,INCOMING WIRE,False
TXN0002462,8621478088,2025-04-07,34174.41,Internal Transfer,ACCOUNT TRANSFER,False
TXN0001803,1056209885,2025-02-14,13895.07,ACH Credit,Payroll Deposit,False
TXN0003564,5767818328,2025-02-21,-16007.98,Wire Transfer,Outgoing Wire,False
TXN0000736,1375889495,2025-01-14,-10091.78,Wire Transfer,INCOMING WIRE,False
TXN0005904,3856108785,2025-04-16,-4560.49,Wire Transfer,INCOMING WIRE,False
TXN0003514,8186315066,2025-06-22,5078.63,ACH Credit,Payroll Deposit,False
TXN0000564,7047080765,2025-03-07,2301.89,Check Deposit,Check Deposit,False
TXN0002952,3392182185,2025-01-07,-43282.28,Internal Transfer,Account Transfer,False
TXN0000049,6837650372,2025-03-03,28498.70,Check Deposit,Check Deposit,False
TXN0003145,1855730213,2025-06-28,18025.03,Wire Transfer,Outgoing Wire,False
FEE00032,1357624246,2025-06-25,-37.16,Service Charge,Overdraft Fee,True
TXN0005055,3053233646,2025-01-04,5861.11,Internal Transfer,Account Transfer,False
TXN0000492,7985720971,2025-02-14,29966.72,Check Deposit,CHECK DEPOSIT,False
TXN0004574,9179461553,2025-01-22,38255.60,Internal Transfer,ACCOUNT TRANSFER,False
TXN0002965,1058614938,2025-02-10,-28629.44,Debit Card,POS Purchase,False
TXN0002367,8632729318,2025-02-05,-2314.34,ACH Debit,Vendor Payment,False
TXN0005712,7208329731,2025-02-02,15061.53,ACH Credit,Payroll Deposit,False
TXN0003496,5828262628,2025-02-17,-13285.34,Wire Transfer,INCOMING WIRE,False
TXN0001004,6020482290,2025-02-02,-36408.70,ACH Debit,Vendor Payment,False
TXN0003827,4413085453,2025-05-20,-34146.25,Wire Transfer,OUTGOING WIRE,False
TXN0000491,1760176576,2025-03-16,-40180.64,Wire Transfer,OUTGOING WIRE,False
TXN0003546,1975549890,2025-04-27,-30987.21,Wire Transfer,Outgoing Wire,False
TXN0002654,9236808379,2025-05-21,-4867.77,Wire Transfer,OUTGOING WIRE,False
TXN0004795,6630860230,2025-06-15,-36694.74,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004406,7252161309,2025-02-20,24749.20,Check Deposit,Check Deposit,False
TXN0000041,8155817396,2025-02-16,-18290.76,Debit Card,POS Purchase,False
TXN0000433,3441017533,2025-02-22,-26250.68,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001054,8120843514,2025-03-23,-20956.11,ACH Debit,Vendor Payment,False
TXN0000175,5894171503,2025-05-23,-21925.60,Wire Transfer,INCOMING WIRE,False
TXN0005437,8979138023,2025-01-09,-31897.88,Wire Transfer,INCOMING WIRE,False
TXN0003878,7231121814,2025-06-14,8572.26,ACH Credit,PAYROLL DEPOSIT,False
TXN0001259,7325941347,2025-02-11,-35795.37,ACH Debit,Vendor Payment,False
TXN0000379,9341776385,2025-01-20,36849.73,ACH Credit,Payroll Deposit,False
TXN0005508,4423629656,2025-05-13,-34906.50,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004767,5925053011,2025-01-06,-31950.54,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0005032,3071848669,2025-04-27,4687.60,Check Deposit,CHECK DEPOSIT,False
TXN0002470,9864869953,2025-06-27,-16810.80,ACH Debit,Vendor Payment,False
TXN0002361,7289521622,2025-06-21,-25071.56,ATM Withdrawal,ATM Cash Withdrawal,False
FEE00039,5822236308,2025-05-10,-9.60,Service Charge,Overdraft Fee,True
TXN0000186,1395721769,2025-06-23,-41476.92,Wire Transfer,Incoming Wire,False
FEE00028,8806728254,2025-06-22,13.63,Interest Payment,Interest Credit,True
TXN0003227,4201386967,2025-01-23,-37452.36,Internal Transfer,Account Transfer,False
TXN0002703,6985662839,2025-05-29,-22255.76,Wire Transfer,OUTGOING WIRE,False
TXN0004122,2855449732,2025-01-03,-1639.57,Wire Transfer,Outgoing Wire,False
TXN0005195,2553848235,2025-05-09,7383.32,Check Deposit,CHECK DEPOSIT,False
TXN0003999,3561755019,2025-04-10,-33619.91,Wire Transfer,Outgoing Wire,False
TXN0002672,7332711670,2025-05-06,33147.26,Check Deposit,Check Deposit,False
TXN0000982,5348410751,2025-01-25,-2031.56,Wire Transfer,Outgoing Wire,False
TXN0003657,2474830844,2025-05-25,32004.73,Check Deposit,CHECK DEPOSIT,False
TXN0002496,9000046126,2025-05-25,33135.06,Check Deposit,CHECK DEPOSIT,False
TXN0003539,6422338197,2025-05-08,-10329.06,Debit Card,POS Purchase,False
TXN0003417,3768046703,2025-03-05,-8924.56,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002283,7374500905,2025-02-12,-18567.57,Debit Card,POS Purchase,False
TXN0002240,8846646664,2025-02-09,31984.97,ACH Credit,Payroll Deposit,False
TXN0001689,4145980119,2025-05-21,-22274.71,Wire Transfer,Incoming Wire,False
TXN0004950,6148070853,2025-01-13,20585.70,Check Deposit,Check Deposit,False
TXN0000355,4944917833,2025-02-05,3596.35,ACH Debit,VENDOR PAYMENT,False
TXN0002725,2945218890,2025-05-10,-41115.26,ACH Debit,Vendor Payment,False
TXN0002384,8248041516,2025-05-24,41340.86,Check Deposit,CHECK DEPOSIT,False
TXN0002580,1742179161,2025-04-18,-993.47,ACH Debit,Vendor Payment,False
TXN0005184,1479557848,2025-06-21,16665.45,ACH Credit,Payroll Deposit,False
TXN0000893,3986088340,2025-03-08,1358.85,Check Deposit,Check Deposit,False
TXN0000212,2680408680,2025-03-06,-26061.73,Debit Card,POS Purchase,False
TXN0001524,3746376292,2025-03-06,13231.45,ACH Credit,PAYROLL DEPOSIT,False
TXN0000339,8587548482,2025-05-10,-910.77,ACH Debit,VENDOR PAYMENT,False
TXN0000680,8666582402,2025-03-10,26093.48,Check Deposit,CHECK DEPOSIT,False
TXN0004562,7184219028,2025-05-12,-23090.13,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0004066,4996821846,2025-04-25,-43331.47,Debit Card,POS Purchase,False
TXN0001528,4927359805,2025-06-19,2184.87,ACH Credit,Payroll Deposit,False
TXN0005889,3076767813,2025-01-29,12104.98,ACH Credit,Payroll Deposit,False
TXN0000422,3371648496,2025-02-08,722.43,ACH Credit,Payroll Deposit,False
TXN0005186,2415229966,2025-04-04,-1625.25,Debit Card,POS Purchase,False
TXN0004957,3009380193,2025-03-25,-40681.76,Debit Card,POS Purchase,False
TXN0000481,4943283687,2025-06-05,19969.02,Internal Transfer,Account Transfer,False
TXN0005474,8538692657,2025-03-15,-38731.82,Wire Transfer,INCOMING WIRE,False
TXN0001496,1711772707,2025-03-24,1373.50,Check Deposit,CHECK DEPOSIT,False
TXN0001928,2960478682,2025-02-03,-11350.86,Wire Transfer,OUTGOING WIRE,False
TXN0003041,9838017653,2025-04-08,-23798.93,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002891,8391385516,2025-06-24,39955.48,Check Deposit,Check Deposit,False
TXN0004508,1149538125,2025-03-22,-29633.95,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003292,4972325425,2025-01-26,38013.79,Wire Transfer,Incoming Wire,False
TXN0005284,9924887330,2025-06-16,-9855.54,Debit Card,POS Purchase,False
TXN0003395,7770815703,2025-05-06,32280.03,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0003001,8632053818,2025-05-05,-1201.80,Wire Transfer,OUTGOING WIRE,False
TXN0005721,8016733830,2025-01-18,-29636.14,Wire Transfer,Incoming Wire,False
TXN0000583,8586843107,2025-06-21,15161.06,Check Deposit,Check Deposit,False
TXN0001939,4154565607,2025-04-08,-33775.32,Wire Transfer,Outgoing Wire,False
TXN0001078,7142961244,2025-05-06,-31799.95,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0005169,1407672109,2025-05-29,-29304.07,Internal Transfer,Account Transfer,False
TXN0004375,1500272473,2025-03-25,-29797.73,Wire Transfer,Outgoing Wire,False
TXN0004580,1496216523,2025-03-14,-17380.62,Wire Transfer,Incoming Wire,False
TXN0002712,2859825025,2025-06-21,1991.03,Wire Transfer,INCOMING WIRE,False
TXN0005542,6706771420,2025-03-20,34783.15,ACH Credit,PAYROLL DEPOSIT,False
TXN0002480,3974602272,2025-04-30,20154.04,ACH Credit,Payroll Deposit,False
FEE00026,1585736774,2025-02-07,10.29,Interest Payment,Interest Credit,True
TXN0005863,7140559917,2025-05-24,23594.18,Check Deposit,Check Deposit,False
TXN0002425,9303611908,2025-01-03,19473.29,ACH Credit,Payroll Deposit,False
TXN0003859,5199027281,2025-05-10,-32396.99,Debit Card,POS Purchase,False
TXN0004724,3890927977,2025-06-13,-22720.38,Wire Transfer,Incoming Wire,False
TXN0000789,2396916775,2025-03-09,19555.93,Check Deposit,Check Deposit,False
TXN0001076,8698600484,2025-03-20,23413.73,ACH Credit,PAYROLL DEPOSIT,False
TXN0005584,7882351235,2025-01-23,29349.03,ACH Credit,PAYROLL DEPOSIT,False
TXN0004358,7283748879,2025-01-30,-24631.24,Debit Card,POS PURCHASE,False
TXN0004914,8231943583,2025-04-03,-42176.60,Wire Transfer,INCOMING WIRE,False
TXN0004119,9995834781,2025-01-03,-7434.70,Wire Transfer,Outgoing Wire,False
TXN0004838,5383045699,2025-01-16,-11801.29,Wire Transfer,Outgoing Wire,False
TXN0005335,9223256025,2025-05-23,14383.99,Wire Transfer,Outgoing Wire,False
FEE00057,2527640106,2025-02-05,-9.83,Service Charge,Monthly Maintenance Fee,True
TXN0004089,5904230329,2025-05-06,-20503.07,Wire Transfer,Outgoing Wire,False
TXN0001564,8026375182,2025-04-27,9087.72,ACH Credit,Payroll Deposit,False
TXN0000938,1213354402,2025-01-26,-1492.90,Wire Transfer,Incoming Wire,False
TXN0000505,4892083008,2025-06-15,36259.31,Check Deposit,Check Deposit,False
TXN0003441,6941957997,2025-03-17,7798.07,Internal Transfer,Account Transfer,False
TXN0002945,5217380757,2025-06-17,-34607.75,Wire Transfer,INCOMING WIRE,False
TXN0002024,4577769368,2025-03-23,-40447.21,Debit Card,POS PURCHASE,False
TXN0003296,1468918356,2025-04-24,-171.12,ACH Debit,Vendor Payment,False
TXN0001108,3635805470,2025-02-10,-6769.36,Debit Card,POS Purchase,False
TXN0003360,1295389934,2025-05-09,-16924.72,Wire Transfer,Outgoing Wire,False
TXN0002271,7829135862,2025-02-20,-31010.09,Debit Card,POS PURCHASE,False
TXN0001546,6934949955,2025-03-13,20182.96,ACH Credit,Payroll Deposit,False
TXN0003747,1989165182,2025-04-24,-27558.04,Internal Transfer,ACCOUNT TRANSFER,False
TXN0003543,3892422680,2025-04-12,-20161.92,Debit Card,POS Purchase,False
TXN0003375,1339412022,2025-02-07,-26784.01,Wire Transfer,Outgoing Wire,False
TXN0005543,3829177894,2025-01-21,-8555.28,Wire Transfer,Incoming Wire,False
TXN0005599,4275717030,2025-04-07,16836.77,ACH Credit,PAYROLL DEPOSIT,False
TXN0004369,2445909134,2025-03-01,-28506.17,Debit Card,POS Purchase,False
TXN0004970,6500408965,2025-05-05,43279.13,Wire Transfer,Outgoing Wire,False
TXN0003734,9711817383,2025-05-25,-1214.38,Wire Transfer,Incoming Wire,False
TXN0005033,3689595758,2025-04-23,41522.71,Internal Transfer,Account Transfer,False
TXN0005666,3827785173,2025-01-25,-16673.00,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000754,3392124654,2025-01-10,39055.03,ACH Credit,Payroll Deposit,False
TXN0003563,1394193655,2025-06-23,-22982.46,Wire Transfer,Outgoing Wire,False
TXN0005579,7854213864,2025-04-26,19217.37,ACH Credit,Payroll Deposit,False
TXN0001282,7308432672,2025-02-15,-12341.58,Wire Transfer,INCOMING WIRE,False
TXN0005824,6475575146,2025-01-18,-20922.68,Debit Card,POS PURCHASE,False
TXN0003266,5075916997,2025-02-03,3950.65,Internal Transfer,Account Transfer,False
TXN0003545,2470402123,2025-04-03,10609.65,ACH Credit,Payroll Deposit,False
TXN0005837,7485559803,2025-03-18,-27979.94,Wire Transfer,OUTGOING WIRE,False
TXN0002702,8141442147,2025-05-08,-12965.97,Debit Card,POS PURCHASE,False
TXN0002785,7503598069,2025-05-19,-8689.74,Debit Card,POS Purchase,False
TXN0003844,1089114551,2025-03-15,-29587.48,ACH Debit,VENDOR PAYMENT,False
TXN0004960,7155604711,2025-06-19,13436.45,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001511,2098406715,2025-03-15,-14750.94,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0003259,5878445519,2025-06-01,-11799.29,Debit Card,POS Purchase,False
TXN0005772,1568340889,2025-01-04,17420.09,Check Deposit,CHECK DEPOSIT,False
TXN0000381,7856620167,2025-06-10,-13109.36,Wire Transfer,Outgoing Wire,False
TXN0002026,9973240072,2025-05-01,12986.82,Check Deposit,Check Deposit,False
TXN0005918,8706755538,2025-03-27,-11971.65,ATM Withdrawal,ATM CASH WITHDRAWAL,False
