txn_ref,account_number,ledger_amount,bank_amount,ledger_date,bank_date,category,note
TXN0003838,5529397698,-7465.43,-7465.43,2025-05-03,2025-05-03,Reconciled,
TXN0000491,1760176576,-40180.64,-40180.64,2025-03-16,2025-03-16,Reconciled,
TXN0004724,3890927977,-22720.38,-22720.38,2025-06-13,2025-06-13,Reconciled,
TXN0003470,8734226041,-30581.72,-30581.72,2025-01-08,2025-01-08,Reconciled,
TXN0005803,5036773877,-31634.28,-31634.28,2025-04-01,2025-04-01,Reconciled,
TXN0001754,8218386047,41250.35,41250.35,2025-02-06,2025-02-06,Reconciled,
TXN0005481,8220763086,3027.21,3027.21,2025-04-23,2025-04-23,Reconciled,
TXN0001666,4551618067,-33895.17,-33895.17,2025-03-09,2025-03-10,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0001433,5966355208,-966.34,-786.36,2025-04-05,2025-04-05,Amount Discrepancy (Investigate),"Ledger -966.34 vs bank -786.36, diff -179.98."
TXN0004210,5697606036,-23003.91,-23003.91,2025-05-24,2025-05-24,Reconciled,
TXN0000485,2289011870,31992.80,31992.80,2025-03-07,2025-03-07,Reconciled,
TXN0005774,4598454301,-41677.07,-41677.07,2025-05-21,2025-05-21,Reconciled,
TXN0000198,5986577660,-27833.69,-27833.69,2025-01-31,2025-01-31,Reconciled,
TXN0002039,1607978374,-24771.35,-24771.35,2025-03-06,2025-03-06,Reconciled,
TXN0004251,8294436000,-21081.14,-21081.14,2025-05-19,2025-05-20,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0004585,6104915601,-14516.01,-14516.01,2025-06-05,2025-06-05,Reconciled,
TXN0000757,9914509613,-35270.65,-35270.65,2025-03-20,2025-03-20,Reconciled,
TXN0005836,3678368002,-42687.52,-42687.52,2025-05-31,2025-05-31,Reconciled,
TXN0003758,1598931533,43754.20,,2025-06-09,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0003840,9475285903,-43193.09,-43193.09,2025-06-03,2025-06-04,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0005455,5890946740,-36736.36,-36736.36,2025-04-13,2025-04-13,Reconciled,
TXN0002102,4706508305,-23666.75,-23666.75,2025-06-22,2025-06-22,Reconciled,
TXN0005399,6729419911,12355.80,12355.80,2025-01-11,2025-01-12,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0002767,5185761723,-23929.43,-23929.43,2025-03-02,2025-03-02,Reconciled,
TXN0003716,1272353149,-44826.32,-44826.32,2025-05-01,2025-05-01,Reconciled,
TXN0003710,1907956235,-18000.01,-18000.01,2025-06-13,2025-06-13,Reconciled,
TXN0004029,8152923694,-25442.73,-25442.73,2025-04-17,2025-04-17,Reconciled,
TXN0003141,3368237181,-32412.33,-32412.33,2025-01-24,2025-01-24,Reconciled,
TXN0002428,2785512249,-40681.31,-40836.45,2025-02-16,2025-02-16,Amount Discrepancy (Investigate),"Ledger -40681.31 vs bank -40836.45, diff 155.14."
TXN0000718,1030056083,-22612.97,-22612.97,2025-06-08,2025-06-08,Reconciled,
TXN0001794,8417918711,-1944.51,-1944.51,2025-05-18,2025-05-18,Reconciled,
TXN0002814,9720484415,-32550.53,-32550.53,2025-06-07,2025-06-07,Reconciled,
TXN0003563,1394193655,-22982.46,-22982.46,2025-06-23,2025-06-23,Reconciled,
TXN0001516,7282240372,1148.27,1148.27,2025-01-23,2025-01-23,Reconciled,
TXN0005883,5385589197,4013.06,4013.06,2025-04-16,2025-04-16,Reconciled,
TXN0003064,6273886759,36902.40,36902.40,2025-05-22,2025-05-22,Reconciled,
TXN0003248,5008036054,20985.55,20985.55,2025-04-16,2025-04-17,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0004095,1301061043,-32796.94,-32796.94,2025-06-02,2025-06-02,Reconciled,
TXN0003820,8443440035,29962.27,29962.27,2025-06-27,2025-06-27,Reconciled,
TXN0005772,1568340889,17420.09,17420.09,2025-01-04,2025-01-04,Reconciled,
TXN0001661,1674343623,-33566.26,-33566.26,2025-05-15,2025-05-15,Reconciled,
TXN0000800,6304905676,-32798.10,-32798.10,2025-04-16,2025-04-17,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0002559,9948026622,-4660.57,-4660.57,2025-01-24,2025-01-24,Reconciled,
TXN0003868,2398481253,-32604.69,-32604.69,2025-06-17,2025-06-19,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0001046,1239103686,-8436.68,-8436.68,2025-06-23,2025-06-23,Reconciled,
TXN0001484,5436643137,27537.13,27537.13,2025-01-21,2025-01-21,Reconciled,
TXN0002472,7894724508,2807.09,2807.09,2025-06-13,2025-06-13,Reconciled,
TXN0004568,2000064722,-21114.71,-21114.71,2025-03-07,2025-03-07,Reconciled,
TXN0003115,3443450414,-5355.53,-5355.53,2025-06-11,2025-06-11,Reconciled,
TXN0000515,4597123990,-5975.87,-5975.87,2025-05-01,2025-05-01,Reconciled,
TXN0005306,7149239235,-25648.23,-25648.23,2025-05-19,2025-05-21,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0005957,1224686237,-36115.42,-36115.42,2025-04-14,2025-04-14,Reconciled,
TXN0005948,2675489547,35586.12,35586.12,2025-04-26,2025-04-26,Reconciled,
TXN0002032,9699692519,14606.74,14606.74,2025-01-18,2025-01-18,Reconciled,
TXN0002751,6073459070,-24634.44,-24634.44,2025-06-12,2025-06-12,Reconciled,
TXN0003092,3843760001,-15251.61,-15251.61,2025-02-21,2025-02-21,Reconciled,
TXN0001424,6228070887,-25380.07,-25380.07,2025-06-28,2025-06-28,Reconciled,
TXN0001985,7647282208,-32211.28,-32211.28,2025-02-26,2025-02-26,Reconciled,
TXN0001887,6478682259,-34052.58,-34052.58,2025-03-31,2025-04-02,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004076,3234936687,2370.79,2370.79,2025-04-10,2025-04-10,Reconciled,
TXN0005462,1808674868,-33573.22,-33573.22,2025-03-21,2025-03-21,Reconciled,
TXN0002952,3392182185,-43282.28,-43282.28,2025-01-07,2025-01-07,Reconciled,
TXN0004279,1257842128,-15231.75,,2025-05-12,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0001528,4927359805,2184.87,2184.87,2025-06-19,2025-06-19,Reconciled,
TXN0001102,2113418596,-44468.45,-44468.45,2025-03-03,2025-03-03,Reconciled,
TXN0001987,7841912728,-31385.60,-31385.60,2025-05-17,2025-05-17,Reconciled,
TXN0001384,9007837055,-7005.25,-7046.50,2025-03-20,2025-03-20,Amount Discrepancy (Investigate),"Ledger -7005.25 vs bank -7046.50, diff 41.25."
TXN0002625,5711677081,30558.66,30558.66,2025-03-10,2025-03-10,Reconciled,
TXN0001479,7597028702,-15494.88,-15494.88,2025-05-22,2025-05-22,Reconciled,
TXN0002074,8813684882,-3886.12,-3886.12,2025-02-08,2025-02-08,Reconciled,
TXN0004011,7478185233,-9013.11,-9013.11,2025-06-23,2025-06-23,Reconciled,
TXN0002386,5611201771,-38840.02,-38840.02,2025-05-10,2025-05-10,Reconciled,
TXN0004799,9101423288,-14621.40,-14621.40,2025-05-12,2025-05-12,Reconciled,
TXN0005799,9302326927,-35511.89,-35511.89,2025-05-23,2025-05-23,Reconciled,
TXN0003479,8582856091,-42808.16,-42808.16,2025-02-25,2025-02-25,Reconciled,
TXN0005288,5754333124,6799.41,6799.41,2025-05-28,2025-05-28,Reconciled,
TXN0002063,3838176247,-11448.62,-11448.62,2025-02-17,2025-02-17,Reconciled,
TXN0004884,2304883013,39102.35,39102.35,2025-01-27,2025-01-27,Reconciled,
TXN0004881,4939311242,-29005.34,-29005.34,2025-02-08,2025-02-08,Reconciled,
TXN0002170,8072004914,13898.89,13898.89,2025-02-09,2025-02-09,Reconciled,
TXN0000551,7061429568,39940.67,39940.67,2025-06-15,2025-06-15,Reconciled,
TXN0001123,7995117524,-28444.35,-28444.35,2025-02-06,2025-02-06,Reconciled,
TXN0005892,8395701555,-25827.36,-25827.36,2025-04-05,2025-04-05,Reconciled,
TXN0000923,7969924669,-34407.20,-34407.20,2025-03-31,2025-03-31,Reconciled,
TXN0003488,8485830747,-22291.54,-22291.54,2025-02-19,2025-02-19,Reconciled,
TXN0003983,1902801753,-5018.13,,2025-03-13,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0004270,2953305820,-38499.56,-38499.56,2025-04-02,2025-04-02,Reconciled,
TXN0000356,5445794898,-4789.45,-4789.45,2025-04-21,2025-04-21,Reconciled,
TXN0005206,2028139770,-9233.13,-9233.13,2025-03-19,2025-03-19,Reconciled,
TXN0001091,8963881556,36161.24,36161.24,2025-01-29,2025-01-29,Reconciled,
TXN0002705,7409486456,-14901.50,-14901.50,2025-01-21,2025-01-21,Reconciled,
TXN0002165,6056169644,-37097.51,-37097.51,2025-02-08,2025-02-08,Reconciled,
TXN0005924,9495898209,-19134.87,-19134.87,2025-02-23,2025-02-23,Reconciled,
TXN0000973,2563832738,-4999.32,-4999.32,2025-04-06,2025-04-06,Reconciled,
TXN0005522,6043532144,37519.55,37519.55,2025-05-23,2025-05-23,Reconciled,
TXN0004200,7606301420,-17923.39,-17923.39,2025-01-17,2025-01-17,Reconciled,
TXN0002374,6059683971,33045.73,33045.73,2025-05-29,2025-05-29,Reconciled,
TXN0001335,9567926917,837.63,837.63,2025-01-22,2025-01-22,Reconciled,
TXN0005743,1756531142,-12356.97,-12356.97,2025-05-01,2025-05-01,Reconciled,
TXN0001299,2029990717,-40136.64,-40136.64,2025-06-20,2025-06-20,Reconciled,
TXN0002067,9155995589,43359.94,43359.94,2025-01-18,2025-01-18,Reconciled,
TXN0000390,3686488452,5867.61,5867.61,2025-01-07,2025-01-07,Reconciled,
TXN0001019,7734381029,29328.44,29328.44,2025-05-14,2025-05-14,Reconciled,
TXN0000285,7163731992,34262.20,34262.20,2025-04-07,2025-04-07,Reconciled,
TXN0002874,3333899589,-40178.30,-40178.30,2025-03-18,2025-03-18,Reconciled,
TXN0001861,4729558349,-5981.77,-5981.77,2025-04-21,2025-04-21,Reconciled,
TXN0000782,9469150013,-40017.96,-40017.96,2025-06-02,2025-06-02,Reconciled,
TXN0000085,7640691869,-33604.36,-33472.05,2025-05-26,2025-05-26,Amount Discrepancy (Investigate),"Ledger -33604.36 vs bank -33472.05, diff -132.31."
TXN0004339,9075771511,30419.10,30419.10,2025-02-03,2025-02-03,Reconciled,
TXN0004474,9156468881,15565.49,15565.49,2025-03-19,2025-03-19,Reconciled,
TXN0005779,4330118106,-31599.31,-31599.31,2025-03-05,2025-03-05,Reconciled,
TXN0001040,8463225076,-17683.29,-17683.29,2025-02-13,2025-02-13,Reconciled,
TXN0005196,4798837145,-30095.27,-30095.27,2025-06-21,2025-06-22,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0000801,9427240003,-44918.85,-44918.85,2025-01-12,2025-01-12,Reconciled,
TXN0002902,6104862263,16053.59,16053.59,2025-02-23,2025-02-23,Reconciled,
TXN0001555,2989119299,-43376.65,-43376.65,2025-03-10,2025-03-10,Reconciled,
TXN0004989,8151514626,-38940.02,-38940.02,2025-02-08,2025-02-08,Reconciled,
TXN0001449,3242189691,-20198.02,-20198.02,2025-02-07,2025-02-07,Reconciled,
TXN0003430,6986048275,-23110.30,-23110.30,2025-03-24,2025-03-24,Reconciled,
TXN0002214,9839387839,-19918.35,-19918.35,2025-06-29,2025-07-01,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0001222,2405143423,-39557.43,-39557.43,2025-01-20,2025-01-20,Reconciled,
TXN0004873,7899826634,-31622.00,-31622.00,2025-04-02,2025-04-02,Reconciled,
TXN0000009,2946513985,-38996.99,-38996.99,2025-02-16,2025-02-16,Reconciled,
TXN0003381,7752456986,17571.10,17571.10,2025-04-29,2025-04-29,Reconciled,
TXN0003372,9747024210,14662.57,14662.57,2025-04-27,2025-04-27,Reconciled,
TXN0001586,1795395347,-36401.61,-36401.61,2025-05-12,2025-05-15,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0003420,5745992752,-17756.88,-17756.88,2025-02-26,2025-02-27,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0000311,8104195518,-37233.45,-37233.45,2025-06-06,2025-06-09,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0004921,3527268566,-38573.19,-38573.19,2025-01-31,2025-01-31,Reconciled,
TXN0000310,6920074688,-42616.54,-42616.54,2025-02-01,2025-02-01,Reconciled,
TXN0003188,7774130097,-40431.66,-40431.66,2025-01-14,2025-01-14,Reconciled,
TXN0005114,6938104675,-801.61,-801.61,2025-04-25,2025-04-25,Reconciled,
TXN0001035,2920787904,4124.61,4124.61,2025-06-02,2025-06-02,Reconciled,
TXN0001537,9451035211,30157.67,30157.67,2025-06-27,2025-06-27,Reconciled,
TXN0002862,1177879552,-8841.24,-8841.24,2025-01-07,2025-01-07,Reconciled,
TXN0001650,2169570561,11890.52,11890.52,2025-01-30,2025-01-30,Reconciled,
TXN0005995,3283182364,32111.44,32111.44,2025-01-31,2025-01-31,Reconciled,
TXN0004532,6819506485,2927.09,2927.09,2025-06-09,2025-06-09,Reconciled,
TXN0003538,8779935169,41233.59,41233.59,2025-01-07,2025-01-07,Reconciled,
TXN0005714,9588417726,-23853.74,-23853.74,2025-06-04,2025-06-04,Reconciled,
TXN0001949,1939731617,-41739.70,-41739.70,2025-04-21,2025-04-21,Reconciled,
TXN0002350,6100567262,-43442.18,-43442.18,2025-06-04,2025-06-04,Reconciled,
TXN0002019,8478351456,-12674.97,-12674.97,2025-05-23,2025-05-23,Reconciled,
TXN0000055,6699704676,-19858.11,-19858.11,2025-06-02,2025-06-02,Reconciled,
TXN0001347,9107051468,-28014.08,-28014.08,2025-06-18,2025-06-20,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004150,8151507970,-35236.56,-35236.56,2025-05-08,2025-05-10,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0005623,3072627097,43982.29,43982.29,2025-04-29,2025-04-29,Reconciled,
TXN0005856,7859208063,-10449.37,-10449.37,2025-04-07,2025-04-07,Reconciled,
TXN0001675,2311107842,-27474.21,-27474.21,2025-04-16,2025-04-16,Reconciled,
TXN0005667,8320907891,21518.24,21518.24,2025-06-15,2025-06-15,Reconciled,
TXN0003410,7370495016,42452.51,42452.51,2025-01-23,2025-01-23,Reconciled,
TXN0005410,6105839546,-14606.78,-14606.78,2025-05-13,2025-05-13,Reconciled,
TXN0001428,8697369668,-32456.38,-32456.38,2025-05-10,2025-05-10,Reconciled,
TXN0003741,7968194796,10050.13,10050.13,2025-01-24,2025-01-27,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0003217,3152372105,-24329.64,-24329.64,2025-05-20,2025-05-20,Reconciled,
TXN0002603,6631477020,-39799.13,-39799.13,2025-02-01,2025-02-01,Reconciled,
TXN0001786,8773174921,-31425.15,-31425.15,2025-01-13,2025-01-13,Reconciled,
TXN0003739,8304456835,3600.78,3600.78,2025-04-14,2025-04-14,Reconciled,
TXN0005968,4412673553,3244.03,3244.03,2025-06-04,2025-06-04,Reconciled,
TXN0004072,4116965941,-28383.22,-28383.22,2025-02-15,2025-02-15,Reconciled,
TXN0003887,7402501355,23037.54,23037.54,2025-03-12,2025-03-12,Reconciled,
TXN0005238,2827974787,28071.78,28071.78,2025-04-25,2025-04-26,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0003386,4415509253,12590.71,12590.71,2025-03-18,2025-03-18,Reconciled,
TXN0005636,1572377729,1786.58,1786.58,2025-06-17,2025-06-17,Reconciled,
TXN0003329,5977517903,-4323.16,-4323.16,2025-06-11,2025-06-14,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0004225,9149763696,-26946.89,-26946.89,2025-06-07,2025-06-07,Reconciled,
TXN0002575,8778859452,-39296.93,-39296.93,2025-02-25,2025-02-25,Reconciled,
TXN0000744,2486904069,13515.60,13515.60,2025-04-14,2025-04-14,Reconciled,
TXN0005448,3942264610,12394.95,12394.95,2025-03-15,2025-03-15,Reconciled,
TXN0003396,2948444052,12414.13,12414.13,2025-03-12,2025-03-12,Reconciled,
TXN0004421,9894259663,-7149.41,-7149.41,2025-01-05,2025-01-05,Reconciled,
TXN0001049,1751745978,11045.07,11045.07,2025-02-01,2025-02-01,Reconciled,
TXN0005952,2318686990,-2453.07,-2453.07,2025-06-26,2025-06-26,Reconciled,
TXN0004287,6412009941,13566.20,13566.20,2025-04-10,2025-04-10,Reconciled,
TXN0003256,1628949443,-34979.88,-34979.88,2025-05-29,2025-05-29,Reconciled,
TXN0001501,2489230425,-11554.78,-11554.78,2025-01-20,2025-01-20,Reconciled,
TXN0003852,5520047094,7361.49,7361.49,2025-05-08,2025-05-09,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0000870,8240539220,-17467.31,-17467.31,2025-04-13,2025-04-16,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0000496,4266129965,-16436.24,-16436.24,2025-06-10,2025-06-10,Reconciled,
TXN0000495,6688715900,8800.73,8800.73,2025-04-14,2025-04-14,Reconciled,
TXN0002163,6440418135,-4662.94,-4662.94,2025-02-04,2025-02-04,Reconciled,
TXN0003197,8500737116,-40238.80,-40238.80,2025-05-29,2025-06-01,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0001221,8395586736,-5765.69,,2025-04-20,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0000307,7012142327,30683.39,30683.39,2025-06-19,2025-06-20,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0002204,9095210214,14878.30,14878.30,2025-02-20,2025-02-20,Reconciled,
TXN0003857,9499496073,-2330.39,-2330.39,2025-04-04,2025-04-04,Reconciled,
TXN0002717,1137660753,-41122.50,-41122.50,2025-06-19,2025-06-19,Reconciled,
TXN0003924,7256541149,21816.52,21816.52,2025-06-11,2025-06-11,Reconciled,
TXN0004166,8109485376,-24763.84,-24763.84,2025-01-29,2025-01-29,Reconciled,
TXN0004889,4788804045,-6382.61,-6382.61,2025-03-28,2025-03-28,Reconciled,
TXN0004701,9537641506,-15901.94,-15901.94,2025-06-08,2025-06-08,Reconciled,
TXN0001060,4854027609,-12379.42,-12379.42,2025-03-23,2025-03-23,Reconciled,
TXN0000943,9709394049,-4371.91,-4371.91,2025-03-16,2025-03-16,Reconciled,
TXN0001467,6696781322,-33058.94,-33058.94,2025-06-15,2025-06-15,Reconciled,
TXN0004718,5725695302,-20914.16,-20914.16,2025-02-21,2025-02-21,Reconciled,
TXN0004404,6228615783,11469.20,11469.20,2025-04-13,2025-04-13,Reconciled,
TXN0001993,9206835504,-25760.82,-25760.82,2025-06-26,2025-06-26,Reconciled,
TXN0000651,3361143061,-36860.56,-36860.56,2025-01-30,2025-01-30,Reconciled,
TXN0001260,8414068600,-36759.59,-36759.59,2025-01-31,2025-01-31,Reconciled,
TXN0002960,8980532629,-13399.08,-13399.08,2025-05-16,2025-05-16,Reconciled,
TXN0002135,6539579126,-302.67,-302.67,2025-06-06,2025-06-06,Reconciled,
TXN0002402,2584761890,-14000.45,-14000.45,2025-04-16,2025-04-16,Reconciled,
TXN0001098,4556105583,-1500.88,-1500.88,2025-01-20,2025-01-20,Reconciled,
TXN0005282,1608635377,-6260.31,-6260.31,2025-04-09,2025-04-09,Reconciled,
TXN0000539,5216764595,43556.47,43556.47,2025-06-16,2025-06-16,Reconciled,
TXN0000426,8465518499,-23876.02,-23876.02,2025-05-14,2025-05-16,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004327,4535229722,-10988.04,-10988.04,2025-04-25,2025-04-27,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0005480,4280743071,-856.96,-856.96,2025-02-08,2025-02-11,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0003623,1653125864,-8302.70,-8302.70,2025-03-07,2025-03-07,Reconciled,
TXN0000276,3555655200,363.33,363.33,2025-05-18,2025-05-18,Reconciled,
TXN0000835,8743990143,13411.45,13411.45,2025-03-24,2025-03-24,Reconciled,
TXN0003621,5201248992,-31963.58,-31963.58,2025-06-05,2025-06-05,Reconciled,
TXN0004106,1081679144,-35347.34,-35347.34,2025-06-27,2025-06-27,Reconciled,
TXN0002636,4616119068,-43790.75,-43790.75,2025-03-21,2025-03-21,Reconciled,
TXN0000927,7004940926,-512.29,-512.29,2025-05-20,2025-05-20,Reconciled,
TXN0002085,6572291713,-16594.55,-16594.55,2025-03-25,2025-03-25,Reconciled,
TXN0002633,1121391712,-10981.12,-10981.12,2025-05-29,2025-05-29,Reconciled,
TXN0003186,8190593435,-21293.31,-21173.99,2025-06-24,2025-06-24,Amount Discrepancy (Investigate),"Ledger -21293.31 vs bank -21173.99, diff -119.32."
TXN0003178,9737338430,-28533.10,-28533.10,2025-04-22,2025-04-22,Reconciled,
TXN0000377,2532959682,22828.19,22828.19,2025-02-25,2025-02-25,Reconciled,
TXN0005069,6876570804,-29625.52,-29625.52,2025-04-01,2025-04-01,Reconciled,
TXN0002015,7835749954,25263.51,25263.51,2025-02-24,2025-02-24,Reconciled,
TXN0003388,6894065086,8514.57,8514.57,2025-06-23,2025-06-23,Reconciled,
TXN0005236,4230864287,-16385.95,-16385.95,2025-03-16,2025-03-19,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0003936,2751113068,-1026.04,-1026.04,2025-05-28,2025-05-28,Reconciled,
TXN0000842,1442591079,-10646.42,-10646.42,2025-01-30,2025-01-30,Reconciled,
TXN0000843,9626531921,24848.10,24848.10,2025-06-06,2025-06-06,Reconciled,
TXN0004390,4616133069,28720.59,28720.59,2025-06-11,2025-06-11,Reconciled,
TXN0002541,9775516141,20664.09,20664.09,2025-06-03,2025-06-03,Reconciled,
TXN0000153,6040733291,-506.55,-506.55,2025-02-09,2025-02-09,Reconciled,
TXN0003921,5135471442,-38581.60,-38729.30,2025-04-20,2025-04-20,Amount Discrepancy (Investigate),"Ledger -38581.60 vs bank -38729.30, diff 147.70."
TXN0001693,4020416934,-9949.67,-9949.67,2025-06-24,2025-06-24,Reconciled,
TXN0003091,9012487819,-3537.34,-3537.34,2025-05-08,2025-05-08,Reconciled,
TXN0005045,6711608739,42414.58,42414.58,2025-02-02,2025-02-02,Reconciled,
TXN0004234,2780151825,-23615.26,-23615.26,2025-01-27,2025-01-27,Reconciled,
TXN0005950,2874343674,-8009.85,-8009.85,2025-05-18,2025-05-18,Reconciled,
TXN0003788,2391580815,-6311.03,-6311.03,2025-05-18,2025-05-18,Reconciled,
TXN0003856,7965179091,-30008.66,,2025-01-07,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0002604,4953192239,-29120.03,-29120.03,2025-04-07,2025-04-07,Reconciled,
TXN0002758,4532625027,43903.74,43903.74,2025-01-08,2025-01-08,Reconciled,
TXN0005444,1923747842,-20998.83,-20998.83,2025-04-05,2025-04-05,Reconciled,
TXN0004483,8431136379,-17833.85,-17833.85,2025-01-28,2025-01-28,Reconciled,
TXN0002005,2965569497,-41577.43,-41577.43,2025-05-12,2025-05-12,Reconciled,
TXN0002414,5949799805,-37891.33,-37891.33,2025-03-30,2025-03-30,Reconciled,
TXN0002800,3711088120,-3920.83,-3920.83,2025-03-09,2025-03-09,Reconciled,
TXN0002460,3601308292,-33144.96,-33144.96,2025-06-01,2025-06-01,Reconciled,
TXN0004116,1168882433,34113.11,34113.11,2025-01-13,2025-01-13,Reconciled,
TXN0002322,9753421875,-42172.99,-42172.99,2025-01-07,2025-01-07,Reconciled,
TXN0003720,1532978258,-18214.92,-18214.92,2025-05-09,2025-05-09,Reconciled,
TXN0005011,1235950042,-17731.60,-17731.60,2025-02-13,2025-02-15,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0005984,1264458748,-15044.49,-15044.49,2025-02-24,2025-02-24,Reconciled,
TXN0004734,7317149939,-19150.14,-19150.14,2025-04-22,2025-04-22,Reconciled,
TXN0005042,3534506684,-42648.03,-42648.03,2025-03-16,2025-03-16,Reconciled,
TXN0004468,6535788912,-12977.80,-12977.80,2025-02-10,2025-02-10,Reconciled,
TXN0004264,3200271999,-12789.85,-12789.85,2025-02-04,2025-02-04,Reconciled,
TXN0004903,4494005297,29322.55,29322.55,2025-03-05,2025-03-05,Reconciled,
TXN0001047,6076361938,41717.56,41717.56,2025-02-09,2025-02-10,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0003683,2861343312,-31948.55,-31948.55,2025-06-23,2025-06-23,Reconciled,
TXN0002719,6862626821,-39338.89,-39338.89,2025-03-18,2025-03-18,Reconciled,
TXN0005873,4993941342,40279.67,40279.67,2025-05-06,2025-05-06,Reconciled,
TXN0001125,8104007023,-14632.76,-14632.76,2025-03-11,2025-03-11,Reconciled,
TXN0004064,9308158676,-12479.65,-12479.65,2025-05-14,2025-05-14,Reconciled,
TXN0000028,6189349467,25795.18,25795.18,2025-02-21,2025-02-21,Reconciled,
TXN0002883,7491772739,-21812.81,-21812.81,2025-02-22,2025-02-22,Reconciled,
TXN0004307,3392726885,34099.56,34099.56,2025-05-22,2025-05-22,Reconciled,
TXN0000871,7037461780,27084.76,27084.76,2025-02-22,2025-02-22,Reconciled,
TXN0000340,4305719318,20726.49,20726.49,2025-06-12,2025-06-12,Reconciled,
TXN0002088,6239212115,-8960.41,-8960.41,2025-01-08,2025-01-08,Reconciled,
TXN0004437,1402513683,-5936.91,-5936.91,2025-04-24,2025-04-24,Reconciled,
TXN0002291,8067573378,-19660.71,-19660.71,2025-01-31,2025-01-31,Reconciled,
TXN0001008,2845634131,-30587.67,-30587.67,2025-06-30,2025-06-30,Reconciled,
TXN0001448,8027307858,-19377.56,-19377.56,2025-04-03,2025-04-05,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0002810,2634424434,40230.15,40230.15,2025-03-02,2025-03-02,Reconciled,
TXN0000230,9102302215,-40558.28,-40558.28,2025-02-17,2025-02-17,Reconciled,
TXN0005026,5113691816,5001.79,5001.79,2025-02-04,2025-02-04,Reconciled,
TXN0003242,2663995905,42038.28,42038.28,2025-06-22,2025-06-22,Reconciled,
TXN0004735,9246615289,-20122.83,-20122.83,2025-01-12,2025-01-12,Reconciled,
TXN0000102,4620862501,-2240.01,-2240.01,2025-04-18,2025-04-18,Reconciled,
TXN0002998,9460326316,-7822.70,-7822.70,2025-04-08,2025-04-08,Reconciled,
TXN0002127,4522070356,-25438.81,-25438.81,2025-05-25,2025-05-25,Reconciled,
TXN0005998,4582892976,-31292.41,-31205.23,2025-02-13,2025-02-13,Amount Discrepancy (Investigate),"Ledger -31292.41 vs bank -31205.23, diff -87.18."
TXN0005668,2879954994,-31688.96,-31688.96,2025-05-20,2025-05-20,Reconciled,
TXN0001854,3523220626,-21551.25,-21551.25,2025-03-17,2025-03-17,Reconciled,
TXN0004194,8805561307,19638.02,19638.02,2025-04-20,2025-04-20,Reconciled,
TXN0005696,3541421599,-40170.68,-40170.68,2025-03-06,2025-03-06,Reconciled,
TXN0005747,4579113853,-19151.25,-19151.25,2025-01-10,2025-01-10,Reconciled,
