RefNumber,AcctNumber,StatementDate,Amount,TxnType,Memo
txn0005663,270-194-0026,03/10/2025,"$25,415.06",Debit Card,POS Purchase
TXN0003053,968-730-3476,01/23/2025,"($36,043.53)",Debit Card,POS Purchase
txn0004618,734-445-8783,02/18/2025,"($27,722.44)",ATM Withdrawal,ATM Cash Withdrawal
txn0003013,379-427-0068,06/23/2025,"$9,931.75",Wire Transfer,Outgoing Wire
TXN0005076,484-122-0595,03/30/2025,"($21,158.45)",Debit Card,POS PURCHASE
txn0002169,473-912-8119,15-May-2025,"($2,378.83)",ACH Debit,VENDOR PAYMENT
TXN0000198,598-657-7660,31-Jan-2025,"($27,833.69)",Wire Transfer,Incoming Wire
TXN0001124,182-911-4917,06/08/2025,"($27,922.60)",ACH Debit,Vendor Payment
 txn0001879,319-310-6356,01/16/2025,"$3,554.15",Internal Transfer,ACCOUNT TRANSFER
txn0005979, 548-958-8305 ,18-Apr-2025,"($23,078.68)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001178,472-391-7492,02/10/2025,"($22,961.24)",ACH Debit,Vendor Payment
TXN0000816,739-891-7312,05-Feb-2025,"($27,368.63)",Wire Transfer,Incoming Wire
TXN0004297,198-506-8186,03-Apr-2025,"($14,854.69)",Wire Transfer,Incoming Wire
FEE00100,796-068-0259,07-Jun-2025,($65.74),Service Charge,NSF Fee
TXN0001508,825-034-7967,01/13/2025,"($13,517.61)",Internal Transfer,ACCOUNT TRANSFER
TXN0000045,928-703-3584,04-Mar-2025,$655.21,Check Deposit,Check Deposit
TXN0005875,661-609-8162,05/29/2025,"($23,470.80)",ACH Debit,VENDOR PAYMENT
TXN0003907,831-211-2094,30-Mar-2025,"($23,682.05)",Wire Transfer,Outgoing Wire
TXN0001781,574-798-8977,16-Jun-2025,"($16,524.17)",ACH Debit,Vendor Payment
TXN0005154,763-868-3211,05/27/2025,"($2,528.83)",Wire Transfer,OUTGOING WIRE
TXN0001410,421-859-2208,06/20/2025,"($17,134.09)",Debit Card,POS PURCHASE
TXN0004255,678-414-9689,28-Mar-2025,"($21,253.98)",ACH Debit,Vendor Payment
 TXN0002614,972-256-0244,30-Apr-2025,"($30,513.72)",Wire Transfer,Outgoing Wire
TXN0001761,180-173-2660,02/06/2025,"$30,842.31",ACH Credit,Payroll Deposit
TXN0002294,610-195-7867,23-Jan-2025,"$13,375.07",Check Deposit,Check Deposit
TXN0002353,419-266-3146,22-Feb-2025,"$6,705.97",Check Deposit,CHECK DEPOSIT
TXN0001593,935-231-5263,26-Apr-2025,"$6,249.95",Check Deposit,Check Deposit
txn0003459,373-513-4815,21-Mar-2025,"$25,006.32",Debit Card,POS Purchase
TXN0000883,355-249-5268,04-Mar-2025,"($11,677.95)",Internal Transfer,Account Transfer
TXN0003262,975-864-4669,01/14/2025,"$12,378.54",ACH Credit,Payroll Deposit
txn0002433, 312-562-1038 ,06/15/2025,"($41,393.60)",ATM Withdrawal,ATM Cash Withdrawal
txn0002039,160-797-8374,03/06/2025,"($24,771.35)",Wire Transfer,OUTGOING WIRE
TXN0003144,635-102-0768,05/28/2025,"($1,683.82)",ACH Debit,Vendor Payment
TXN0005231, 117-276-2143 ,02/22/2025,"($43,577.98)",ATM Withdrawal,ATM Cash Withdrawal
FEE00043,517-237-4573,04/11/2025,($37.83),Service Charge,Overdraft Fee
TXN0004496,749-561-8478,09-Mar-2025,"($41,874.26)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003678,298-597-0750,04/06/2025,"($6,543.26)",ATM Withdrawal,ATM Cash Withdrawal
TXN0000911,145-124-1003,01-Mar-2025,"($32,391.10)",ACH Debit,Vendor Payment
TXN0001295,272-043-0422,02/02/2025,"$37,514.30",Check Deposit,Check Deposit
TXN0004721,973-129-9367,05/07/2025,"($27,317.90)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005896,778-604-3742,12-Mar-2025,"($19,080.53)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0001681,275-704-5079,06/09/2025,"($9,937.56)",Wire Transfer,Outgoing Wire
TXN0005052,122-664-5815,01/05/2025,"($39,598.56)",Wire Transfer,INCOMING WIRE
 TXN0005590,226-187-9708,05/06/2025,"$7,087.52",Check Deposit,Check Deposit
txn0000892, 178-417-9808 ,17-Mar-2025,"($31,284.94)",Internal Transfer,Account Transfer
txn0000001,729-491-9105,11-Jun-2025,"($23,048.09)",Wire Transfer,Incoming Wire
TXN0005170, 220-080-6929 ,18-Mar-2025,"($4,183.29)",ACH Debit,Vendor Payment
TXN0004613, 796-330-6149 ,06/11/2025,"$35,298.64",ACH Credit,Payroll Deposit
TXN0005850,319-229-4788,06/12/2025,"$37,578.23",ACH Credit,Payroll Deposit
TXN0001752,957-726-0157,03-Jan-2025,"($36,771.66)",ATM Withdrawal,ATM Cash Withdrawal
txn0002980,664-057-6005,24-Jun-2025,"($26,086.38)",ACH Debit,VENDOR PAYMENT
TXN0001443,864-433-2775,03/29/2025,"$13,041.80",Check Deposit,CHECK DEPOSIT
TXN0002205,536-499-3807,03/08/2025,"($36,898.89)",Internal Transfer,Account Transfer
TXN0000628,236-741-7709,06/03/2025,"$27,992.56",Internal Transfer,Account Transfer
TXN0005526,439-531-3132,03/01/2025,"($35,658.17)",Debit Card,POS Purchase
 TXN0002272,998-175-4611,24-Mar-2025,"$38,006.32",ACH Credit,PAYROLL DEPOSIT
txn0004035,285-369-2465,03/09/2025,"$31,790.88",Check Deposit,CHECK DEPOSIT
TXN0005803,503-677-3877,04/01/2025,"($31,634.28)",ATM Withdrawal,ATM Cash Withdrawal
txn0000239,376-110-1149,03/06/2025,"($15,395.79)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001039,510-337-1211,06/22/2025,"($41,526.21)",ACH Debit,Vendor Payment
TXN0001154,292-477-9533,27-Jun-2025,"($27,949.85)",Wire Transfer,INCOMING WIRE
txn0005888, 105-003-4064 ,24-Feb-2025,"($11,569.71)",Wire Transfer,Incoming Wire
TXN0003523,682-035-1352,01-Feb-2025,"($14,017.88)",Debit Card,POS Purchase
FEE00130,704-662-5665,27-Feb-2025,($61.16),Service Charge,Overdraft Fee
TXN0002447,227-075-3212,19-Apr-2025,"$12,976.46",ACH Credit,Payroll Deposit
TXN0002037,104-364-8199,05/13/2025,"($19,653.69)",Debit Card,POS Purchase
 TXN0001910,354-242-1993,06/22/2025,"($44,663.08)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0001562,754-277-9622,29-Apr-2025,"$42,568.42",Check Deposit,CHECK DEPOSIT
TXN0002932,900-924-2239,13-May-2025,"$1,422.30",ACH Credit,Payroll Deposit
TXN0004173,867-817-4877,02/09/2025,"($9,303.63)",Debit Card,POS PURCHASE
TXN0005111,571-872-1763,03-Feb-2025,"($9,787.67)",Wire Transfer,OUTGOING WIRE
TXN0004811,573-025-6681,22-May-2025,"$22,304.48",ACH Credit,Payroll Deposit
txn0005013,809-890-5953,26-Feb-2025,"$35,223.38",Check Deposit,Check Deposit
TXN0005048,940-092-6342,06/23/2025,"($25,789.44)",Wire Transfer,INCOMING WIRE
TXN0003917,280-943-3230,03/10/2025,"$22,489.71",Check Deposit,CHECK DEPOSIT
txn0002376,390-179-0210,06-Jun-2025,"($41,428.92)",Internal Transfer,Account Transfer
 TXN0000013,950-615-4484,05/02/2025,"($41,563.34)",Wire Transfer,Outgoing Wire
TXN0004607,488-333-9774,05/04/2025,"($26,430.98)",Wire Transfer,OUTGOING WIRE
TXN0001870,460-150-8819,08-Apr-2025,"($2,322.93)",Wire Transfer,OUTGOING WIRE
TXN0000992,822-214-1278,03/01/2025,"($15,434.07)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005189,372-176-4641,27-Jun-2025,"($9,317.49)",Wire Transfer,Incoming Wire
TXN0005298,369-936-3855,24-Mar-2025,"($43,863.59)",Wire Transfer,Outgoing Wire
TXN0002412,936-219-7551,08-Mar-2025,"($13,772.29)",Wire Transfer,Incoming Wire
TXN0002187,132-829-7861,06-Jan-2025,"($10,559.89)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005769,785-120-5464,03-May-2025,"($27,570.59)",Wire Transfer,INCOMING WIRE
txn0001456,518-640-2215,23-May-2025,"($12,203.78)",ACH Debit,VENDOR PAYMENT
TXN0004029,815-292-3694,17-Apr-2025,"($25,442.73)",Wire Transfer,Outgoing Wire
TXN0005103,360-587-8498,10-Jun-2025,"($7,384.14)",ATM Withdrawal,ATM Cash Withdrawal
FEE00066,829-070-4356,04-Mar-2025,($16.00),Service Charge,Monthly Maintenance Fee
TXN0004485,953-375-5904,03/15/2025,"($4,867.01)",Debit Card,POS Purchase
TXN0004161,121-478-7880,03/03/2025,"($43,932.77)",Wire Transfer,Outgoing Wire
TXN0000151,438-969-1856,03/02/2025,"$3,071.57",Check Deposit,Check Deposit
TXN0001618,638-827-3239,06/25/2025,"($20,356.62)",Wire Transfer,Incoming Wire
TXN0001194, 518-867-6683 ,04/10/2025,"($26,276.91)",Wire Transfer,Outgoing Wire
TXN0005034, 270-941-4067 ,03/05/2025,"($11,638.57)",Debit Card,POS Purchase
TXN0005407,150-975-1285,09-Feb-2025,"($4,685.39)",Wire Transfer,OUTGOING WIRE
TXN0000152,300-303-9692,01/27/2025,"($7,679.50)",Wire Transfer,Incoming Wire
TXN0005838,404-615-1093,06/13/2025,"($20,932.11)",Wire Transfer,INCOMING WIRE
TXN0005760,872-157-1430,03/19/2025,"($22,984.53)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0003694,969-503-5087,06/02/2025,"($4,383.19)",Wire Transfer,Outgoing Wire
TXN0003153,682-984-5277,06-Jun-2025,"($29,618.94)",Debit Card,POS PURCHASE
FEE00030,718-910-8059,25-Jan-2025,($65.05),Service Charge,Wire Fee
TXN0001370,331-260-8775,25-Apr-2025,"($38,302.51)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001931,735-676-2104,01/17/2025,"($3,387.45)",Wire Transfer,Incoming Wire
 TXN0003199,908-634-3831,02/11/2025,"($31,610.66)",Wire Transfer,INCOMING WIRE
 TXN0000817,466-942-9746,01/15/2025,"($27,553.72)",Debit Card,POS PURCHASE
TXN0001247,169-956-2674,02/09/2025,"$12,622.90",Debit Card,POS Purchase
TXN0002248,676-410-4699,27-Jun-2025,"($10,614.13)",ACH Debit,Vendor Payment
txn0000882,855-791-9798,12-Mar-2025,"($1,557.89)",ACH Debit,Vendor Payment
TXN0003373,335-752-3253,04/06/2025,"($38,841.27)",Wire Transfer,Incoming Wire
 TXN0000271,135-829-7428,24-Jan-2025,"($21,166.74)",Wire Transfer,Incoming Wire
 TXN0001049,175-174-5978,02/01/2025,"$11,045.07",ACH Credit,Payroll Deposit
txn0004266,193-813-3106,05/07/2025,"$32,328.45",Internal Transfer,Account Transfer
TXN0001691,458-956-0050,01/31/2025,"($4,219.66)",ACH Debit,Vendor Payment
TXN0000123,221-862-5209,02/06/2025,"($18,383.17)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0004651, 177-676-9143 ,02/25/2025,"($27,032.89)",Wire Transfer,Outgoing Wire
TXN0005323,676-389-0573,03/11/2025,"($5,513.90)",Wire Transfer,Incoming Wire
TXN0004311,698-898-5181,22-May-2025,"($7,874.32)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0000963,731-712-3471,04/28/2025,"($4,323.46)",Debit Card,POS Purchase
TXN0005004,767-440-5362,26-Apr-2025,"($18,721.11)",ACH Debit,Vendor Payment
TXN0003533, 224-394-5756 ,23-Apr-2025,"$44,618.62",Internal Transfer,ACCOUNT TRANSFER
TXN0003825,762-919-1535,02/22/2025,"($43,377.25)",Wire Transfer,Incoming Wire
TXN0005653,665-901-0132,06/02/2025,"$31,955.36",Check Deposit,Check Deposit
 TXN0000935,983-856-8029,17-Apr-2025,"($17,595.18)",Wire Transfer,Outgoing Wire
FEE00002,569-508-8897,27-Jan-2025,($43.67),Service Charge,Wire Fee
TXN0004002,279-248-1830,08-Feb-2025,"$29,664.06",Check Deposit,CHECK DEPOSIT
TXN0005640,792-919-6458,01/09/2025,"($11,541.42)",Internal Transfer,Account Transfer
TXN0000486, 405-187-4932 ,05/03/2025,"($16,193.96)",Wire Transfer,Incoming Wire
TXN0004503,574-677-5787,12-Jun-2025,"($28,332.24)",Debit Card,POS Purchase
TXN0005841,110-096-4438,04/22/2025,"($8,048.29)",Wire Transfer,OUTGOING WIRE
TXN0002221,786-817-0004,01/24/2025,"$40,086.20",Check Deposit,Check Deposit
txn0004576,542-246-2088,05/09/2025,"($12,444.72)",Wire Transfer,Incoming Wire
TXN0005247,607-676-7908,02/11/2025,"$41,750.50",Check Deposit,Check Deposit
TXN0004237,669-616-7944,06/21/2025,"($12,997.72)",ACH Debit,VENDOR PAYMENT
TXN0002550,327-991-8775,05/19/2025,($529.43),Internal Transfer,ACCOUNT TRANSFER
TXN0000363,606-911-1615,04/28/2025,"($22,886.30)",ACH Debit,Vendor Payment
TXN0004178,725-907-6030,06/23/2025,"($5,714.95)",Wire Transfer,Incoming Wire
TXN0005110,669-457-4805,01/27/2025,"$27,764.27",Check Deposit,Check Deposit
 TXN0002069,111-549-4538,01/23/2025,"$8,838.06",Check Deposit,Check Deposit
TXN0002279,427-924-5848,03-Apr-2025,"($26,541.01)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0003159,460-378-8371,04/13/2025,"$40,240.19",Wire Transfer,OUTGOING WIRE
TXN0001092,148-661-8691,03/23/2025,"($18,908.31)",ATM Withdrawal,ATM Cash Withdrawal
TXN0000761,935-994-3983,04/01/2025,"$39,831.35",Check Deposit,Check Deposit
 TXN0000512,685-144-1478,03/01/2025,"($44,966.62)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001942,608-703-6032,06/15/2025,"$21,495.79",Check Deposit,Check Deposit
TXN0005380,617-748-5162,06/22/2025,"($21,849.67)",ACH Debit,Vendor Payment
TXN0005040,896-025-0580,02/08/2025,"($35,056.30)",Wire Transfer,Outgoing Wire
txn0000540,671-696-2152,06/16/2025,"($29,894.60)",Wire Transfer,OUTGOING WIRE
 TXN0005316,736-167-4511,02/19/2025,"$10,656.10",Check Deposit,Check Deposit
TXN0002777,857-122-4506,02-Feb-2025,"($2,668.74)",Debit Card,POS PURCHASE
TXN0002960,898-053-2629,05/16/2025,"($13,399.08)",Debit Card,POS Purchase
 TXN0000651,336-114-3061,01/30/2025,"($36,860.56)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0001740,495-786-3749,01/22/2025,"$4,556.45",Check Deposit,Check Deposit
 TXN0004540,955-927-7844,03/17/2025,"($32,659.46)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0004589,970-452-2693,03/04/2025,"($31,465.50)",Debit Card,POS PURCHASE
TXN0001153,730-966-6692,01/22/2025,"$5,832.09",ACH Credit,Payroll Deposit
TXN0003352,828-729-1586,11-May-2025,"$18,298.93",Check Deposit,Check Deposit
TXN0000994,318-098-7857,07-Jun-2025,"$10,447.41",Wire Transfer,OUTGOING WIRE
txn0000596,234-309-2197,02/19/2025,"($39,644.06)",Wire Transfer,Incoming Wire
TXN0003721,301-453-8711,06/26/2025,"($12,638.88)",Internal Transfer,Account Transfer
txn0001019, 773-438-1029 ,05/14/2025,"$29,328.44",ACH Credit,Payroll Deposit
TXN0004227,835-648-5971,05/19/2025,"($13,916.64)",ACH Debit,Vendor Payment
txn0001175,498-099-1326,04/29/2025,"$27,451.12",Check Deposit,CHECK DEPOSIT
txn0004163,214-593-2237,01/04/2025,"($39,495.20)",Wire Transfer,Incoming Wire
TXN0004012,444-020-6018,05/01/2025,"($22,613.64)",Wire Transfer,Outgoing Wire
TXN0001472,669-306-9721,05/22/2025,"($17,074.62)",Debit Card,POS Purchase
txn0005425,942-855-8515,05/05/2025,"$7,671.95",Check Deposit,Check Deposit
TXN0001645, 760-461-7223 ,24-Jun-2025,"($12,232.48)",ACH Debit,Vendor Payment
TXN0005466,648-664-7323,04-Feb-2025,"$17,945.69",Debit Card,POS Purchase
TXN0001470,647-381-5383,21-Apr-2025,"$35,583.05",Check Deposit,CHECK DEPOSIT
TXN0000162,589-635-5641,24-Apr-2025,"$35,847.69",Internal Transfer,Account Transfer
TXN0002772,575-067-0854,20-Jan-2025,"($43,150.42)",Internal Transfer,ACCOUNT TRANSFER
txn0002571,566-367-3220,11-Jan-2025,"($15,811.32)",Internal Transfer,Account Transfer
TXN0003773,689-289-8208,01/14/2025,"($6,324.37)",ATM Withdrawal,ATM Cash Withdrawal
TXN0004878,279-530-3324,24-May-2025,"($37,096.43)",Wire Transfer,Incoming Wire
TXN0003529,868-985-9945,02/27/2025,"($30,987.99)",Wire Transfer,Incoming Wire
TXN0003179,180-198-1899,31-May-2025,"($41,073.53)",ACH Debit,Vendor Payment
txn0000696, 431-063-5332 ,03-Jun-2025,"$13,782.89",ACH Credit,PAYROLL DEPOSIT
fee00073,164-578-8826,06-Jun-2025,($59.37),Service Charge,Monthly Maintenance Fee
txn0002796,345-966-5591,04-Apr-2025,"($44,751.18)",Wire Transfer,INCOMING WIRE
txn0004546, 523-508-5847 ,04/10/2025,"($5,809.19)",Wire Transfer,Outgoing Wire
TXN0004238, 223-147-6677 ,04-Feb-2025,"$17,192.07",ACH Credit,PAYROLL DEPOSIT
FEE00116,507-351-7402,06/05/2025,($39.13),Service Charge,NSF Fee
TXN0005872,930-625-1864,29-Jan-2025,"($31,757.17)",ACH Debit,VENDOR PAYMENT
 TXN0005024,747-023-5260,09-Feb-2025,"($25,028.57)",ATM Withdrawal,ATM Cash Withdrawal
TXN0002565,125-802-9314,11-Jun-2025,"($24,029.51)",ACH Debit,VENDOR PAYMENT
TXN0004219,837-214-8762,02-Feb-2025,"($10,446.42)",Wire Transfer,Outgoing Wire
TXN0003995,275-340-3925,23-Jun-2025,($550.19),Wire Transfer,Outgoing Wire
 TXN0005238,282-797-4787,04/26/2025,"$28,071.78",Check Deposit,Check Deposit
TXN0000230, 910-230-2215 ,02/17/2025,"($40,558.28)",Debit Card,POS Purchase
TXN0002628, 605-854-3130 ,02/02/2025,"($34,270.16)",ACH Debit,Vendor Payment
TXN0000502,237-294-2242,18-Mar-2025,"($4,324.06)",Debit Card,POS Purchase
TXN0004918,125-643-6263,01/20/2025,"$33,905.24",Internal Transfer,Account Transfer
txn0003092,384-376-0001,02/21/2025,"($15,251.61)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005403,208-190-4522,10-Feb-2025,"$36,790.15",Check Deposit,Check Deposit
FEE00124, 150-583-2337 ,06/29/2025,($28.56),Service Charge,Overdraft Fee
TXN0002806,503-925-6034,25-Apr-2025,"($32,834.05)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0005572,124-025-3244,19-Jun-2025,"$43,315.41",ACH Credit,PAYROLL DEPOSIT
txn0000802,855-422-5509,01/18/2025,"$41,591.68",Debit Card,POS Purchase
txn0004061,536-534-2694,02/05/2025,"($5,207.59)",Wire Transfer,OUTGOING WIRE
TXN0004177,848-096-5139,28-May-2025,"($5,569.65)",ACH Debit,Vendor Payment
TXN0004860,460-980-2143,21-Jan-2025,"$7,096.97",ACH Credit,Payroll Deposit
TXN0003428,469-727-5776,06/15/2025,"($16,405.98)",ATM Withdrawal,ATM Cash Withdrawal
TXN0004148,950-694-6283,15-Feb-2025,"$39,424.07",Internal Transfer,Account Transfer
TXN0005109, 269-884-1183 ,01/20/2025,"($24,129.86)",ATM Withdrawal,ATM CASH WITHDRAWAL
FEE00133,987-124-8456,02/16/2025,($15.60),Service Charge,Wire Fee
TXN0002129,691-157-4736,06/24/2025,"($43,433.82)",ACH Debit,Vendor Payment
 TXN0002896,963-007-0914,03/15/2025,"$29,683.25",ACH Credit,Payroll Deposit
TXN0000687,851-067-3771,15-Mar-2025,"$23,102.48",ATM Withdrawal,ATM Cash Withdrawal
TXN0002793,774-437-8984,02/23/2025,"($14,082.60)",ACH Debit,Vendor Payment
TXN0002866,513-706-0321,20-Apr-2025,"$27,965.34",ACH Credit,PAYROLL DEPOSIT
txn0001913,910-517-3355,10-Mar-2025,"($43,485.34)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003467,744-198-1456,05/01/2025,"($26,081.93)",Wire Transfer,OUTGOING WIRE
TXN0002269,644-868-7310,02/28/2025,"$38,513.67",Wire Transfer,INCOMING WIRE
fee00092,369-814-2059,26-May-2025,($30.61),Service Charge,Overdraft Fee
txn0004726,638-942-4914,06/12/2025,"($24,634.00)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005798,834-608-4678,04/24/2025,"($33,721.71)",Wire Transfer,Incoming Wire
TXN0005095,806-437-9434,13-Jan-2025,"($2,472.00)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0005092,731-370-1840,02/05/2025,"($15,739.13)",Wire Transfer,Outgoing Wire
TXN0002328,351-515-0150,16-Jan-2025,"$10,696.82",Check Deposit,Check Deposit
TXN0001378,549-519-2442,09-May-2025,"$11,264.38",Check Deposit,Check Deposit
txn0001630,111-369-4342,03/31/2025,"$18,914.77",Internal Transfer,Account Transfer
TXN0005989,752-673-2675,06/25/2025,"($10,718.79)",ATM Withdrawal,ATM Cash Withdrawal
TXN0002119,350-850-5369,05/11/2025,"$27,607.62",Check Deposit,Check Deposit
TXN0001800,259-071-0370,21-Jan-2025,"($26,151.43)",Wire Transfer,Outgoing Wire
TXN0002398,486-890-6328,02-Jun-2025,"$29,957.74",ATM Withdrawal,ATM Cash Withdrawal
TXN0003328, 445-020-9513 ,05/31/2025,"$21,509.90",ACH Credit,Payroll Deposit
TXN0002028,256-471-2837,16-Mar-2025,"$14,012.75",ACH Credit,Payroll Deposit
TXN0005617,542-203-3857,19-May-2025,"($36,520.60)",Wire Transfer,Outgoing Wire
TXN0000952,780-845-7468,18-May-2025,"$5,558.65",Wire Transfer,OUTGOING WIRE
TXN0003325,380-200-9415,04/06/2025,"$40,422.14",Internal Transfer,ACCOUNT TRANSFER
TXN0003718,793-681-8921,10-Apr-2025,"$24,201.79",Check Deposit,Check Deposit
TXN0000732,512-550-7394,04/20/2025,"($38,875.91)",Wire Transfer,Incoming Wire
TXN0002254,333-814-3496,19-May-2025,"$41,045.47",ACH Credit,Payroll Deposit
TXN0003147,933-202-1608,05/11/2025,"($12,332.77)",Wire Transfer,Outgoing Wire
txn0001425,332-668-9805,23-May-2025,"($20,642.51)",ATM Withdrawal,ATM Cash Withdrawal
txn0005567,277-598-2030,06/12/2025,"($40,904.84)",Debit Card,POS Purchase
TXN0004426,705-917-5389,14-Apr-2025,"($27,376.47)",Internal Transfer,Account Transfer
TXN0003881,118-765-8710,04/16/2025,"($24,291.81)",ACH Debit,VENDOR PAYMENT
TXN0003921,513-547-1442,04/20/2025,"($38,729.30)",Debit Card,POS PURCHASE
TXN0000279,133-080-0960,02/13/2025,"$11,209.52",Internal Transfer,Account Transfer
TXN0004706, 763-757-9979 ,04/05/2025,"($33,757.87)",Debit Card,POS Purchase
TXN0001580,872-512-8542,04/18/2025,"($39,203.13)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0001721,343-286-2704,06/29/2025,"($30,893.32)",Debit Card,POS Purchase
TXN0001584,229-312-3409,07-Feb-2025,"$35,940.78",Check Deposit,Check Deposit
TXN0004298,299-002-5316,27-Jan-2025,"($17,427.83)",Wire Transfer,Outgoing Wire
TXN0004964,115-078-6761,13-Jan-2025,"$14,813.57",ACH Credit,PAYROLL DEPOSIT
TXN0005192,775-955-0175,02/14/2025,"($36,254.32)",Wire Transfer,INCOMING WIRE
TXN0005829,477-476-2840,02/23/2025,"($41,462.95)",Wire Transfer,INCOMING WIRE
TXN0000837, 248-153-2633 ,29-Jan-2025,"($38,820.22)",Wire Transfer,Incoming Wire
TXN0004292,769-262-5680,06/04/2025,"$39,835.54",Internal Transfer,ACCOUNT TRANSFER
TXN0001548,342-275-7213,05/10/2025,"($35,909.24)",Wire Transfer,INCOMING WIRE
TXN0001919,438-137-9576,05/28/2025,"($39,949.74)",Debit Card,POS Purchase
TXN0002147,322-973-0546,06/29/2025,"$43,266.63",Check Deposit,Check Deposit
FEE00037,797-253-3327,05/05/2025,$55.23,Interest Payment,Interest Credit
FEE00119,810-659-0886,03/09/2025,$59.30,Interest Payment,Interest Credit
TXN0000611,928-759-9841,02/28/2025,"$18,828.64",Check Deposit,Check Deposit
TXN0001519,611-338-8545,09-Apr-2025,"($26,427.97)",Wire Transfer,Outgoing Wire
TXN0003072,394-229-8073,02/21/2025,"($14,319.09)",Wire Transfer,OUTGOING WIRE
TXN0004390,461-613-3069,06/11/2025,"$28,720.59",Internal Transfer,Account Transfer
TXN0000838,268-879-8197,01/29/2025,"($19,296.88)",Debit Card,POS Purchase
TXN0000744,248-690-4069,14-Apr-2025,"$13,515.60",ACH Credit,Payroll Deposit
TXN0005121,792-942-4323,04/13/2025,"($28,078.14)",ACH Debit,VENDOR PAYMENT
TXN0002576,418-120-7769,05/29/2025,"($40,182.79)",Wire Transfer,Outgoing Wire
TXN0000401,458-384-3991,01/02/2025,"$1,627.08",ACH Credit,PAYROLL DEPOSIT
TXN0001023,349-125-9034,27-Jun-2025,($847.06),Debit Card,POS Purchase
txn0003278,643-799-8162,04/14/2025,"($25,039.53)",ACH Debit,VENDOR PAYMENT
TXN0002208,948-635-6300,21-Apr-2025,"($21,026.10)",ACH Debit,Vendor Payment
TXN0000002, 976-980-9255 ,05/16/2025,"($28,050.20)",ATM Withdrawal,ATM Cash Withdrawal
txn0003770,949-976-5769,20-Feb-2025,"$17,055.11",Check Deposit,Check Deposit
txn0001034,781-407-5946,01/11/2025,"($2,193.95)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001908,176-063-6005,04/05/2025,"$17,210.90",Check Deposit,CHECK DEPOSIT
TXN0000052,430-256-3702,04/10/2025,"$33,635.75",Internal Transfer,Account Transfer
TXN0005982,651-768-7523,08-May-2025,"$34,004.52",ACH Credit,PAYROLL DEPOSIT
TXN0004328,932-925-1127,03/18/2025,"($9,347.16)",Debit Card,POS Purchase
 FEE00080,777-348-5571,02/08/2025,$9.46,Interest Payment,Interest Credit
TXN0005008,596-557-3794,02/06/2025,"$32,676.58",Internal Transfer,ACCOUNT TRANSFER
TXN0000973,256-383-2738,06-Apr-2025,"($4,999.32)",Wire Transfer,INCOMING WIRE
TXN0005672,421-492-8432,01/29/2025,"($29,429.96)",Wire Transfer,Outgoing Wire
TXN0003959,284-393-0571,07-Jan-2025,"($33,842.67)",ACH Debit,Vendor Payment
TXN0003148,704-507-5330,06/20/2025,"$17,122.19",Check Deposit,Check Deposit
TXN0001141, 494-416-1059 ,09-Jan-2025,"$40,179.46",Check Deposit,Check Deposit
TXN0005797,803-235-2404,24-May-2025,"($15,634.18)",Wire Transfer,Outgoing Wire
txn0001228,263-717-0512,02/09/2025,"$35,903.23",ACH Credit,Payroll Deposit
TXN0005084,557-608-0307,01/07/2025,"$15,703.60",ACH Debit,Vendor Payment
TXN0001690,826-613-1182,29-May-2025,"($2,532.29)",Wire Transfer,Incoming Wire
txn0000129,937-681-4624,06/09/2025,"($18,398.95)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0001711,928-298-7725,06/11/2025,"$1,310.52",ACH Credit,Payroll Deposit
TXN0002181,171-154-3107,17-May-2025,"($20,283.80)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0004129,869-918-6965,03-Apr-2025,"$19,520.71",Check Deposit,Check Deposit
TXN0004343,857-824-6603,26-Mar-2025,"($26,032.50)",Wire Transfer,Incoming Wire
TXN0005160,384-025-2451,01/17/2025,"($34,515.81)",ATM Withdrawal,ATM CASH WITHDRAWAL
txn0005636,157-237-7729,06/17/2025,"$1,786.58",Internal Transfer,Account Transfer
